Date,Open,High,Low,Close,Volume,Adj Close
2013-04-24,19.03,19.24,18.77,19.04,36643500,19.04
2013-04-23,19.36,20.74,18.90,18.98,59629600,18.98
2013-04-22,20.56,21.04,19.76,19.99,57364500,19.99
2013-04-19,21.71,21.84,20.27,20.44,65457000,20.44
2013-04-18,21.05,22.54,21.01,22.04,102923600,22.04
2013-04-17,19.63,21.77,19.61,21.07,127255300,21.07
2013-04-16,19.63,19.98,18.86,18.90,69279000,18.90
2013-04-15,18.49,21.22,18.23,20.52,120833900,20.52
2013-04-12,18.93,19.13,18.31,18.35,41452200,18.35
2013-04-11,18.70,18.85,18.37,18.70,38308200,18.70
2013-04-10,19.06,19.14,18.73,18.79,44650200,18.79
2013-04-09,19.38,19.72,19.09,19.29,42911500,19.29
2013-04-08,19.95,20.24,19.53,19.55,43440100,19.55
2013-04-05,21.19,21.27,20.09,20.11,60436400,20.11
2013-04-04,20.34,20.88,20.03,20.03,52884300,20.03
2013-04-03,19.65,20.58,19.56,20.39,57959500,20.39
2013-04-02,20.00,20.08,19.66,19.69,38901400,19.69
2013-04-01,20.16,20.56,20.08,20.32,37121000,20.32
2013-03-28,20.26,20.44,20.18,20.25,28970300,20.25
2013-03-27,20.62,20.80,20.18,20.34,46048400,20.34
2013-03-26,20.34,20.60,20.05,20.14,42030500,20.14
2013-03-25,20.44,21.31,20.15,20.68,69661200,20.68
2013-03-22,20.68,21.28,20.57,20.95,42841000,20.95
2013-03-21,20.98,21.32,20.47,21.02,65961200,21.02
2013-03-20,20.85,21.08,20.30,20.44,62127600,20.44
2013-03-19,21.12,22.74,21.02,21.58,105505100,21.58
2013-03-18,21.83,21.89,20.70,21.58,74850400,21.58
2013-03-15,20.62,20.99,20.41,20.51,42841300,20.51
2013-03-14,20.66,20.90,20.45,20.53,45616600,20.53
2013-03-13,20.97,21.42,20.77,20.93,43540200,20.93
2013-03-12,20.77,21.70,20.63,21.05,62784900,21.05
2013-03-11,21.60,21.69,20.70,20.73,44973000,20.73
2013-03-08,21.55,22.27,21.49,21.63,50472100,21.63
2013-03-07,22.30,22.49,21.91,21.93,36045200,21.93
2013-03-06,22.03,22.80,21.98,22.39,44969000,22.39
2013-03-05,22.29,22.54,22.13,22.28,50826500,22.28
2013-03-04,24.65,24.79,23.00,23.06,51703800,23.06
2013-03-01,25.04,25.62,23.91,24.33,78584600,24.33
2013-02-28,23.18,23.97,22.81,23.97,56679200,23.97
2013-02-27,25.11,25.37,22.85,23.27,70852000,23.27
2013-02-26,25.28,26.81,24.52,24.93,114477300,24.93
2013-02-25,21.71,25.80,21.42,25.56,99740900,25.56
2013-02-22,22.71,23.18,22.45,22.48,39405500,22.48
2013-02-21,22.85,24.08,22.83,23.27,70400700,23.27
2013-02-20,21.10,22.94,21.07,22.83,56676200,22.83
2013-02-19,21.79,21.82,20.97,21.02,40466400,21.02
2013-02-15,21.94,22.47,21.84,21.97,37996900,21.97
2013-02-14,22.64,22.78,22.03,22.16,27859500,22.16
