"Year","GDP-UK in billion","Population-UK million","Public Net Debt-total percent GDP",""
"1900","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","41.214","30.17","a"
"1901","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","41.600","33.24","a"
"1902","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","41.965","35.92","a"
"1903","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","42.334","38.02","a"
"1904","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","42.705","37.81","a"
"1905","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","43.080","36.29","a"
"1906","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","43.459","34.42","a"
"1907","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","43.840","32.35","a"
"1908","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.225","33.30","a"
"1909","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.613","32.39","a"
"1910","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","45.005","31.65","a"
"1911","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","45.400","29.22","a"
"1912","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","45.133","27.30","a"
"1913","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.868","25.83","a"
"1914","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.604","25.30","a"
"1915","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.342","36.59","a"
"1916","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.081","61.36","a"
"1917","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","43.822","93.25","a"
"1918","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","43.564","114.52","a"
"1919","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","43.308","135.20","a"
"1920","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","43.053","130.70","a"
"1921","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.072","154.00","a"
"1922","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.268","171.33","a"
"1923","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.465","181.68","a"
"1924","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.663","174.70","a"
"1925","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","44.862","168.25","a"
"1926","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","45.062","173.51","a"
"1927","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","45.263","164.00","a"
"1928","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","45.464","163.41","a"
"1929","<a href="http://measuringworth.com/ukgdp">MW gdp</a>","45.667","159.59","a"
